#,Hand,Root,ChordType,Texture,Name,ChordNotes,Fingering,BrokenOrder,KeyboardZone
165,Left hand,A#,Dominant7,Solid,Left hand - A#7 - solid,A#–D–F–G#(Ab),5-3-2-1,Press A#+D+F+G# together (keep hand relaxed),Below middle C (start on A#/Bb below middle C)
166,Left hand,A#,Dominant7,Broken,Left hand - A#7 - broken,A#–D–F–G#(Ab),5-3-2-1,A#→D→F→G# (repeat; optional back down G#→F→D→A#),Below middle C (start on A#/Bb below middle C)
167,Left hand,A#,Diminished,Solid,Left hand - A# dim - solid,A#–C#–E,5-3-1,Press A#+C#+E together (tight color; release together),Below middle C (start on A#/Bb below middle C)
168,Left hand,A#,Diminished,Broken,Left hand - A# dim - broken,A#–C#–E,5-3-1,A#→C#→E (repeat; optional back down E→C#→A#),Below middle C (start on A#/Bb below middle C)
169,Right hand,A#,Major,Solid,Right hand - A# major - solid,A#–D–F,1-3-5,Press A#+D+F together (even sound),Around/above middle C (start on A#/Bb above middle C)
170,Right hand,A#,Major,Broken,Right hand - A# major - broken,A#–D–F,1-3-5,A#→D→F (repeat; optional back down F→D→A#),Around/above middle C (start on A#/Bb above middle C)
171,Right hand,A#,Minor,Solid,Right hand - A# minor - solid,A#–C#–F,1-3-5,Press A#+C#+F together (even sound),Around/above middle C (start on A#/Bb above middle C)
172,Right hand,A#,Minor,Broken,Right hand - A# minor - broken,A#–C#–F,1-3-5,A#→C#→F (repeat; optional back down F→C#→A#),Around/above middle C (start on A#/Bb above middle C)
173,Right hand,A#,Dominant7,Solid,Right hand - A#7 - solid,A#–D–F–G#(Ab),1-2-3-5,Press A#+D+F+G# together (keep 2 light),Around/above middle C (start on A#/Bb above middle C)
174,Right hand,A#,Dominant7,Broken,Right hand - A#7 - broken,A#–D–F–G#(Ab),1-2-3-5,A#→D→F→G# (repeat; optional back down G#→F→D→A#),Around/above middle C (start on A#/Bb above middle C)
175,Right hand,A#,Diminished,Solid,Right hand - A# dim - solid,A#–C#–E,1-3-5,Press A#+C#+E together (don’t stiffen wrist),Around/above middle C (start on A#/Bb above middle C)
176,Right hand,A#,Diminished,Broken,Right hand - A# dim - broken,A#–C#–E,1-3-5,A#→C#→E (repeat; optional back down E→C#→A#),Around/above middle C (start on A#/Bb above middle C)
177,Left hand,B,Major,Solid,Left hand - B major - solid,B–D#–F#,5-3-1,Press B+D#+F# together (release together),Below middle C (start on B below middle C)
178,Left hand,B,Major,Broken,Left hand - B major - broken,B–D#–F#,5-3-1,B→D#→F# (repeat; optional back down F#→D#→B),Below middle C (start on B below middle C)
179,Left hand,B,Minor,Solid,Left hand - B minor - solid,B–D–F#,5-3-1,Press B+D+F# together (release together),Below middle C (start on B below middle C)
180,Left hand,B,Minor,Broken,Left hand - B minor - broken,B–D–F#,5-3-1,B→D→F# (repeat; optional back down F#→D→B),Below middle C (start on B below middle C)
181,Left hand,B,Dominant7,Solid,Left hand - B7 - solid,B–D#–F#–A,5-3-2-1,Press B+D#+F#+A together (keep hand relaxed),Below middle C (start on B below middle C)
182,Left hand,B,Dominant7,Broken,Left hand - B7 - broken,B–D#–F#–A,5-3-2-1,B→D#→F#→A (repeat; optional back down A→F#→D#→B),Below middle C (start on B below middle C)
183,Left hand,B,Diminished,Solid,Left hand - B dim - solid,B–D–F,5-3-1,Press B+D+F together (tight color; release together),Below middle C (start on B below middle C)
184,Left hand,B,Diminished,Broken,Left hand - B dim - broken,B–D–F,5-3-1,B→D→F (repeat; optional back down F→D→B),Below middle C (start on B below middle C)
185,Right hand,B,Major,Solid,Right hand - B major - solid,B–D#–F#,1-3-5,Press B+D#+F# together (even sound),Around/above middle C (start on B above middle C)
186,Right hand,B,Major,Broken,Right hand - B major - broken,B–D#–F#,1-3-5,B→D#→F# (repeat; optional back down F#→D#→B),Around/above middle C (start on B above middle C)
187,Right hand,B,Minor,Solid,Right hand - B minor - solid,B–D–F#,1-3-5,Press B+D+F# together (even sound),Around/above middle C (start on B above middle C)
188,Right hand,B,Minor,Broken,Right hand - B minor - broken,B–D–F#,1-3-5,B→D→F# (repeat; optional back down F#→D→B),Around/above middle C (start on B above middle C)
189,Right hand,B,Dominant7,Solid,Right hand - B7 - solid,B–D#–F#–A,1-2-3-5,Press B+D#+F#+A together (keep 2 light),Around/above middle C (start on B above middle C)
190,Right hand,B,Dominant7,Broken,Right hand - B7 - broken,B–D#–F#–A,1-2-3-5,B→D#→F#→A (repeat; optional back down A→F#→D#→B),Around/above middle C (start on B above middle C)
191,Right hand,B,Diminished,Solid,Right hand - B dim - solid,B–D–F,1-3-5,Press B+D+F together (don’t stiffen wrist),Around/above middle C (start on B above middle C)
192,Right hand,B,Diminished,Broken,Right hand - B dim - broken,B–D–F,1-3-5,B→D→F (repeat; optional back down F→D→B),Around/above middle C (start on B above middle C)
